id,nome,codigo,sigla,municipio_id,padrao,principal
143,Nhamundá,05,NULL,101,N,N
144,Parintins,05,NULL,102,N,N
145,Mocambo,10,NULL,102,N,N
146,"São Sebastião do Uatumã",05,NULL,103,N,N
147,Urucará,05,NULL,104,N,N
148,"Boca do Acre",05,NULL,105,N,N
149,"Floriano Peixoto",10,NULL,105,N,N
150,Pauini,05,NULL,106,N,N
151,Canutama,05,NULL,107,N,N
152,Lábrea,05,NULL,108,N,N
153,Tapauá,05,NULL,109,N,N
154,Apuí,05,NULL,110,N,N
155,Borba,05,NULL,111,N,N
156,Humaitá,05,NULL,112,N,N
157,Manicoré,05,NULL,113,N,N
158,"Novo Aripuanã",05,NULL,114,N,N
159,Amajari,05,NULL,115,N,N
160,"Alto Alegre",05,NULL,116,N,N
161,"Boa Vista",05,NULL,117,N,N
162,Pacaraima,05,NULL,118,N,N
163,Bonfim,05,NULL,119,N,N
164,Cantá,05,NULL,120,N,N
165,Normandia,05,NULL,121,N,N
166,Uiramutã,05,NULL,122,N,N
167,Caracaraí,05,NULL,123,N,N
168,Iracema,05,NULL,124,N,N
169,Mucajaí,05,NULL,125,N,N
170,Caroebe,05,NULL,126,N,N
171,Rorainópolis,05,NULL,127,N,N
172,"São João da Baliza",05,NULL,128,N,N
173,"São Luiz",05,NULL,129,N,N
174,Faro,05,NULL,130,N,N
175,"Nova Maracanã",08,NULL,130,N,N
176,Juruti,05,NULL,131,N,N
177,Óbidos,05,NULL,132,N,N
178,Oriximiná,05,NULL,133,N,N
179,"Terra Santa",05,NULL,134,N,N
180,Alenquer,05,NULL,135,N,N
181,Belterra,05,NULL,136,N,N
182,Curuá,05,NULL,137,N,N
183,"Mojuí dos Campos",05,NULL,138,N,N
184,"Monte Alegre",05,NULL,139,N,N
185,Placas,05,NULL,140,N,N
186,Prainha,05,NULL,141,N,N
187,Pacoval,10,NULL,141,N,N
188,Santarém,05,NULL,142,N,N
189,"Alter do Chão",10,NULL,142,N,N
190,Boim,25,NULL,142,N,N
191,Curuai,30,NULL,142,N,N
192,Almeirim,05,NULL,143,N,N
193,Arumanduba,10,NULL,143,N,N
194,"Monte Dourado",15,NULL,143,N,N
195,"Porto de Moz",05,NULL,144,N,N
196,Veiros,10,NULL,144,N,N
197,"Vilarinho do Monte",15,NULL,144,N,N
198,Bagre,05,NULL,145,N,N
199,Pedreira,10,NULL,145,N,N
200,Gurupá,05,NULL,146,N,N
201,Carrazedo,10,NULL,146,N,N
202,Itatupã,15,NULL,146,N,N
203,Melgaço,05,NULL,147,N,N
204,Areias,10,NULL,147,N,N
205,Portel,05,NULL,148,N,N
206,Afuá,05,NULL,149,N,N
207,Anajás,05,NULL,150,N,N
208,Breves,05,NULL,151,N,N
209,"Antônio Lemos",10,NULL,151,N,N
210,Curumu,15,NULL,151,N,N
211,"São Miguel dos Macacos",20,NULL,151,N,N
212,"Porto Velho",05,NULL,152,N,N
213,Abunã,10,NULL,152,N,N
214,Calama,15,NULL,152,N,N
215,Demarcação,16,NULL,152,N,N
216,Extrema,17,NULL,152,N,N
217,"Fortaleza do Abunã",18,NULL,152,N,N
218,"Jaci Paraná",20,NULL,152,N,N
219,"Mutum Paraná",25,NULL,152,N,N
220,Nazaré,30,NULL,152,N,N
221,"Nova Califórnia",35,NULL,152,N,N
222,"São Carlos",40,NULL,152,N,N
223,"Vista Alegre do Abunã",45,NULL,152,N,N
224,"Nova Mamoré",05,NULL,153,N,N
225,Araras,10,NULL,153,N,N
226,Jacynópolis,12,NULL,153,N,N
227,"Nova Dimensão",15,NULL,153,N,N
228,Palmeiras,20,NULL,153,N,N
229,Buritis,05,NULL,154,N,N
230,"Campo Novo de Rondônia",05,NULL,155,N,N
231,"Candeias do Jamari",05,NULL,156,N,N
232,"Rio Preto do Candeias",20,NULL,156,N,N
233,Cujubim,05,NULL,157,N,N
234,"Itapuã do Oeste",05,NULL,158,N,N
235,"Costa Marques",05,NULL,159,N,N
236,"Príncipe da Beira",15,NULL,159,N,N
237,Guajará-Mirim,05,NULL,160,N,N
238,Iata,12,NULL,160,N,N
239,Surpresa,22,NULL,160,N,N
240,"São Francisco do Guaporé",05,NULL,161,N,N
241,Ariquemes,05,NULL,162,N,N
242,"Machadinho D'Oeste",05,NULL,163,N,N
243,"Oriente Novo",15,NULL,163,N,N
244,"Quinto BEC",20,NULL,163,N,N
245,Tabajara,25,NULL,163,N,N
246,"Rio Crespo",05,NULL,164,N,N
247,"Alto Paraíso",05,NULL,165,N,N
248,Cacaulândia,05,NULL,166,N,N
249,"Monte Negro",05,NULL,167,N,N
250,"Vale do Anari",05,NULL,168,N,N
251,Jaru,05,NULL,169,N,N
252,"Bom Jesus",10,NULL,169,N,N
253,"Santa Cruz da Serra",20,NULL,169,N,N
254,Tarilândia,25,NULL,169,N,N
255,Ji-Paraná,05,NULL,170,N,N
256,"Nova Colina",20,NULL,170,N,N
257,"Nova Londrina",25,NULL,170,N,N
258,"Ouro Preto do Oeste",05,NULL,171,N,N
259,Rondominas,25,NULL,171,N,N
260,"Presidente Médici",05,NULL,172,N,N
261,"Estrela de Rondônia",15,NULL,172,N,N
262,"Novo Riachuelo",20,NULL,172,N,N
263,"Vila Bandeira Branca",25,NULL,172,N,N
264,"Vila Camargo",30,NULL,172,N,N
265,"Governador Jorge Teixeira",05,NULL,173,N,N
266,"Colina Verde",15,NULL,173,N,N
267,"Mirante da Serra",05,NULL,174,N,N
268,Curralinho,05,NULL,175,N,N
269,Piriá,10,NULL,175,N,N
270,"São Sebastião da Boa Vista",05,NULL,176,N,N
271,"Cachoeira do Arari",05,NULL,177,N,N
272,Chaves,05,NULL,178,N,N
273,"São Sebastião de Viçosa",10,NULL,178,N,N
274,Muaná,05,NULL,179,N,N
